Overs,Mdns,Runs,Wkts,Econ,Ave,SR,,Opposition,Ground,Start Date,Match No
7.3,0,36,2,4.80,18.00,22.5,,v India,Hambantota,24 Jul 2012,3292
10.0,0,60,2,6.00,30.00,30.0,,v India,Colombo (RPS),28 Jul 2012,3293
8.0,1,41,1,5.12,41.00,48.0,,v India,Colombo (RPS),31 Jul 2012,3294
10.0,0,64,3,6.40,21.33,20.0,,v India,Pallekele,4 Aug 2012,3295
10.0,0,39,2,3.90,19.50,30.0,,v New Zealand,Pallekele,4 Nov 2012,3305
7.0,0,40,1,5.71,40.00,42.0,,v New Zealand,Pallekele,6 Nov 2012,3306
6.0,1,38,0,6.33,-,-,,v New Zealand,Hambantota,10 Nov 2012,3307
-,-,-,-,-,-,-,,v New Zealand,Hambantota,12 Nov 2012,3308
10.0,1,61,1,6.10,61.00,60.0,,v Australia,Melbourne,11 Jan 2013,3317
9.0,0,32,3,3.55,10.66,18.0,,v Australia,Adelaide,13 Jan 2013,3319
7.0,2,14,3,2.00,4.66,14.0,,v Australia,Brisbane,18 Jan 2013,3321
10.0,2,33,2,3.30,16.50,30.0,,v Australia,Sydney,20 Jan 2013,3324
10.0,1,49,1,4.90,49.00,60.0,,v Australia,Hobart,23 Jan 2013,3326
10.0,0,51,2,5.10,25.50,30.0,,v Bangladesh,Hambantota,23 Mar 2013,3349
-,-,-,-,-,-,-,,v Bangladesh,Hambantota,25 Mar 2013,3351
6.0,0,29,2,4.83,14.50,18.0,,v Bangladesh,Pallekele,28 Mar 2013,3352
10.0,2,34,4,3.40,8.50,15.0,,v New Zealand,Cardiff,9 Jun 2013,3366
10.0,2,58,2,5.80,29.00,30.0,,v England,The Oval,13 Jun 2013,3370
9.0,0,60,1,6.66,60.00,54.0,,v Australia,The Oval,17 Jun 2013,3374
8.0,0,54,0,6.75,-,-,,v India,Cardiff,20 Jun 2013,3376
