Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,Match No
45,40,33,7,1,136.36,1,caught,2,,v Australia,Canberra,6 Dec 2016,3812
34,66,40,3,0,85.00,1,caught,2,,v Australia,Melbourne,9 Dec 2016,3813
15,25,19,1,1,78.94,1,caught,1,,v Bangladesh,Christchurch,26 Dec 2016,3814
0,-,4,0,0,0.00,1,lbw,1,,v Bangladesh,Nelson,29 Dec 2016,3815
6*,17,5,1,0,120.00,1,retired notout,2,,v Bangladesh,Nelson,31 Dec 2016,3816
61,107,73,8,0,83.56,1,bowled,1,,v Australia,Auckland,30 Jan 2017,3829
180*,198,138,15,11,130.43,1,not out,2,,v South Africa,Hamilton,1 Mar 2017,3843
4,17,16,1,0,25.00,1,bowled,1,,v South Africa,Auckland,4 Mar 2017,3846
26,27,22,5,0,118.18,1,caught,1,,v Australia,Birmingham,2 Jun 2017,3876
27,56,33,4,0,81.81,1,caught,2,,v England,Cardiff,6 Jun 2017,3880
33,61,35,4,1,94.28,1,lbw,1,,v Bangladesh,Cardiff,9 Jun 2017,3883
32,76,48,5,0,66.66,1,caught,2,,v India,Mumbai,22 Oct 2017,3928
11,12,9,2,0,122.22,1,caught,1,,v India,Pune,25 Oct 2017,3931
10,24,14,1,0,71.42,1,caught,2,,v India,Kanpur,29 Oct 2017,3932
48,118,72,4,2,66.66,1,caught,1,,v Pakistan,Wellington,6 Jan 2018,3946
86*,104,71,5,5,121.12,1,not out,2,,v Pakistan,Nelson,9 Jan 2018,3947
45,86,62,4,1,72.58,1,run out,1,,v Pakistan,Dunedin,13 Jan 2018,3949
31,64,49,3,0,63.26,1,caught,2,,v Pakistan,Hamilton,16 Jan 2018,3953
100,171,126,10,1,79.36,1,caught,1,,v Pakistan,Wellington,19 Jan 2018,3957
13,41,29,2,0,44.82,1,caught,2,,v England,Hamilton,25 Feb 2018,3980
50,99,87,7,0,57.47,1,caught,1,,v England,Mount Maunganui,28 Feb 2018,3981
3,9,4,0,0,75.00,1,caught,2,,v England,Wellington,3 Mar 2018,3982
