Overs,Mdns,Runs,Wkts,Econ,Ave,SR,,Opposition,Ground,Start Date,Match No
10.0,0,48,2,4.80,24.00,30.0,,v Bangladesh,Lahore,13 Apr 2008,2700
10.0,0,34,1,3.40,34.00,60.0,,v Bangladesh,Multan,16 Apr 2008,2702
10.0,0,40,3,4.00,13.33,20.0,,v Bangladesh,Karachi,19 Apr 2008,2703
8.0,1,19,3,2.37,6.33,16.0,,v Bangladesh,Dhaka,8 Jun 2008,2704
10.0,0,52,2,5.20,26.00,30.0,,v India,Dhaka,10 Jun 2008,2705
9.2,0,56,2,6.00,28.00,28.0,,v India,Dhaka,14 Jun 2008,2707
8.0,0,31,2,3.87,15.50,24.0,,v Hong Kong,Karachi,24 Jun 2008,2712
10.0,0,64,1,6.40,64.00,60.0,,v India,Karachi,26 Jun 2008,2717
10.0,0,54,0,5.40,-,-,,v Sri Lanka,Karachi,29 Jun 2008,2723
10.0,0,52,0,5.20,-,-,,v India,Karachi,2 Jul 2008,2730
10.0,0,45,1,4.50,45.00,60.0,,v West Indies,Abu Dhabi,12 Nov 2008,2773
10.0,0,42,1,4.20,42.00,60.0,,v West Indies,Abu Dhabi,14 Nov 2008,2775
9.0,0,51,1,5.66,51.00,54.0,,v West Indies,Abu Dhabi,16 Nov 2008,2776
10.0,1,47,1,4.70,47.00,60.0,,v Sri Lanka,Karachi,20 Jan 2009,2798
10.0,0,42,0,4.20,-,-,,v Sri Lanka,Karachi,21 Jan 2009,2800
10.0,0,60,0,6.00,-,-,,v Sri Lanka,Lahore,24 Jan 2009,2803
10.0,0,38,6,3.80,6.33,10.0,,v Australia,Dubai (DSC),22 Apr 2009,2845
10.0,0,38,2,3.80,19.00,30.0,,v Australia,Dubai (DSC),24 Apr 2009,2846
10.0,2,31,2,3.10,15.50,30.0,,v Australia,Abu Dhabi,27 Apr 2009,2847
7.0,0,31,0,4.42,-,-,,v Australia,Abu Dhabi,1 May 2009,2848
10.0,0,36,0,3.60,-,-,,v Australia,Abu Dhabi,3 May 2009,2849
10.0,1,50,1,5.00,50.00,60.0,,v Sri Lanka,Dambulla,30 Jul 2009,2864
8.0,0,39,1,4.87,39.00,48.0,,v Sri Lanka,Dambulla,1 Aug 2009,2866
6.0,0,45,0,7.50,-,-,,v Sri Lanka,Dambulla,3 Aug 2009,2867
9.0,0,40,2,4.44,20.00,27.0,,v Sri Lanka,Colombo (RPS),7 Aug 2009,2868
3.2,0,16,2,4.80,8.00,10.0,,v Sri Lanka,Colombo (RPS),9 Aug 2009,2870
8.3,0,39,1,4.58,39.00,51.0,,v West Indies,Johannesburg,23 Sep 2009,2894
10.0,0,39,2,3.90,19.50,30.0,,v India,Centurion,26 Sep 2009,2898
10.0,0,47,1,4.70,47.00,60.0,,v Australia,Centurion,30 Sep 2009,2903
10.0,0,41,1,4.10,41.00,60.0,,v New Zealand,Johannesburg,3 Oct 2009,2906
10.0,0,46,2,4.60,23.00,30.0,,v New Zealand,Abu Dhabi,3 Nov 2009,2921
10.0,0,49,2,4.90,24.50,30.0,,v New Zealand,Abu Dhabi,6 Nov 2009,2924
10.0,0,33,1,3.30,33.00,60.0,,v New Zealand,Abu Dhabi,9 Nov 2009,2927
10.0,0,66,1,6.60,66.00,60.0,,v Australia,Brisbane,22 Jan 2010,2944
10.0,0,35,2,3.50,17.50,30.0,,v Australia,Sydney,24 Jan 2010,2945
10.0,0,55,0,5.50,-,-,,v Australia,Adelaide,26 Jan 2010,2946
10.0,1,44,1,4.40,44.00,60.0,,v Australia,Perth,29 Jan 2010,2947
10.0,0,31,2,3.10,15.50,30.0,,v Australia,Perth,31 Jan 2010,2948
10.0,0,43,1,4.30,43.00,60.0,,v Sri Lanka,Dambulla,15 Jun 2010,2991
10.0,0,41,1,4.10,41.00,60.0,,v India,Dambulla,19 Jun 2010,2996
10.0,0,54,1,5.40,54.00,60.0,,v Bangladesh,Dambulla,21 Jun 2010,2998
7.3,0,52,1,6.93,52.00,45.0,,v England,Chester-le-Street,10 Sep 2010,3043
9.0,0,59,1,6.55,59.00,54.0,,v England,Leeds,12 Sep 2010,3044
9.0,0,47,0,5.22,-,-,,v England,The Oval,17 Sep 2010,3045
7.0,0,31,1,4.42,31.00,42.0,,v England,Lord's,20 Sep 2010,3046
10.0,0,40,1,4.00,40.00,60.0,,v England,Southampton,22 Sep 2010,3047
10.0,0,36,0,3.60,-,-,,v South Africa,Abu Dhabi,29 Oct 2010,3062
10.0,0,59,2,5.90,29.50,30.0,,v South Africa,Abu Dhabi,31 Oct 2010,3063
10.0,0,53,2,5.30,26.50,30.0,,v South Africa,Dubai (DSC),2 Nov 2010,3064
10.0,0,51,0,5.10,-,-,,v South Africa,Dubai (DSC),5 Nov 2010,3067
10.0,0,59,2,5.90,29.50,30.0,,v South Africa,Dubai (DSC),8 Nov 2010,3069
1.2,0,7,0,5.25,-,-,,v New Zealand,Wellington,22 Jan 2011,3085
-,-,-,-,-,-,-,,v New Zealand,Queenstown,26 Jan 2011,3088
10.0,0,45,1,4.50,45.00,60.0,,v New Zealand,Christchurch,29 Jan 2011,3090
10.0,0,42,1,4.20,42.00,60.0,,v New Zealand,Napier,1 Feb 2011,3093
10.0,0,55,2,5.50,27.50,30.0,,v New Zealand,Hamilton,3 Feb 2011,3095
10.0,0,51,0,5.10,-,-,,v New Zealand,Auckland,5 Feb 2011,3097
8.0,3,16,5,2.00,3.20,9.6,,v Kenya,Hambantota,23 Feb 2011,3105
10.0,0,34,4,3.40,8.50,15.0,,v Sri Lanka,Colombo (RPS),26 Feb 2011,3109
10.0,0,23,5,2.30,4.60,12.0,,v Canada,Colombo (RPS),3 Mar 2011,3116
10.0,0,55,1,5.50,55.00,60.0,,v New Zealand,Pallekele,8 Mar 2011,3123
8.0,0,33,1,4.12,33.00,48.0,,v Zimbabwe,Pallekele,14 Mar 2011,3132
9.0,0,34,1,3.77,34.00,54.0,,v Australia,Colombo (RPS),19 Mar 2011,3139
9.3,1,30,4,3.15,7.50,14.2,,v West Indies,Dhaka,23 Mar 2011,3142
10.0,0,45,0,4.50,-,-,,v India,Mohali,30 Mar 2011,3147
10.0,1,40,0,4.00,-,-,,v West Indies,Gros Islet,23 Apr 2011,3152
10.0,1,41,2,4.10,20.50,30.0,,v West Indies,Gros Islet,25 Apr 2011,3153
9.0,2,25,0,2.77,-,-,,v West Indies,Bridgetown,28 Apr 2011,3154
6.5,0,32,0,4.68,-,-,,v West Indies,Bridgetown,2 May 2011,3155
6.0,0,31,0,5.16,-,-,,v West Indies,Providence,5 May 2011,3156
9.3,0,27,3,2.84,9.00,19.0,,v Sri Lanka,Dubai (DSC),11 Nov 2011,3212
10.0,1,35,2,3.50,17.50,30.0,,v Sri Lanka,Dubai (DSC),14 Nov 2011,3213
10.0,0,42,2,4.20,21.00,30.0,,v Sri Lanka,Dubai (DSC),18 Nov 2011,3214
9.2,0,35,5,3.75,7.00,11.2,,v Sri Lanka,Sharjah,20 Nov 2011,3215
10.0,0,60,1,6.00,60.00,60.0,,v Sri Lanka,Abu Dhabi,23 Nov 2011,3216
6.3,0,23,5,3.53,4.60,7.8,,v Bangladesh,Dhaka,1 Dec 2011,3218
7.0,0,49,0,7.00,-,-,,v Bangladesh,Dhaka,3 Dec 2011,3220
4.0,0,27,0,6.75,-,-,,v Bangladesh,Chittagong,6 Dec 2011,3222
10.0,0,36,5,3.60,7.20,12.0,,v Afghanistan,Sharjah,10 Feb 2012,3236
10.0,0,55,2,5.50,27.50,30.0,,v England,Abu Dhabi,13 Feb 2012,3238
10.0,1,38,1,3.80,38.00,60.0,,v England,Abu Dhabi,15 Feb 2012,3240
8.0,0,52,0,6.50,-,-,,v England,Dubai (DSC),18 Feb 2012,3243
10.0,0,54,0,5.40,-,-,,v England,Dubai (DSC),21 Feb 2012,3247
10.0,0,49,2,4.90,24.50,30.0,,v Bangladesh,Dhaka,11 Mar 2012,3258
6.0,0,32,0,5.33,-,-,,v Sri Lanka,Dhaka,15 Mar 2012,3260
9.0,0,58,0,6.44,-,-,,v India,Dhaka,18 Mar 2012,3263
10.0,1,28,1,2.80,28.00,60.0,,v Bangladesh,Dhaka,22 Mar 2012,3267
4.0,2,12,0,3.00,-,-,,v Sri Lanka,Pallekele,7 Jun 2012,3272
10.0,0,50,1,5.00,50.00,60.0,,v Sri Lanka,Pallekele,9 Jun 2012,3273
-,-,-,-,-,-,-,,v Sri Lanka,Colombo (RPS),13 Jun 2012,3274
10.0,0,36,0,3.60,-,-,,v Sri Lanka,Colombo (RPS),16 Jun 2012,3275
10.0,0,48,2,4.80,24.00,30.0,,v Sri Lanka,Colombo (RPS),18 Jun 2012,3277
10.0,0,37,1,3.70,37.00,60.0,,v Australia,Sharjah,28 Aug 2012,3299
10.0,0,62,0,6.20,-,-,,v Australia,Sharjah,3 Sep 2012,3303
8.0,0,60,0,7.50,-,-,,v South Africa,Bloemfontein,10 Mar 2013,3343
8.0,0,24,0,3.00,-,-,,v South Africa,Centurion,15 Mar 2013,3346
7.0,0,55,0,7.85,-,-,,v South Africa,Johannesburg,17 Mar 2013,3347
8.0,0,43,0,5.37,-,-,,v South Africa,Durban,21 Mar 2013,3348
6.0,0,28,0,4.66,-,-,,v South Africa,Benoni,24 Mar 2013,3350
9.0,3,12,7,1.33,1.71,7.7,,v West Indies,Providence,14 Jul 2013,3389
10.0,0,29,2,2.90,14.50,30.0,,v West Indies,Providence,16 Jul 2013,3390
4.0,0,23,0,5.75,-,-,,v West Indies,Gros Islet,19 Jul 2013,3391
6.0,0,41,1,6.83,41.00,36.0,,v West Indies,Gros Islet,21 Jul 2013,3393
5.0,0,30,0,6.00,-,-,,v West Indies,Gros Islet,24 Jul 2013,3396
