Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,Match No
30,64,49,5,0,61.22,1,caught,1,,v New Zealand,Birmingham,26 Jun 2004,2134
60*,147,90,9,0,66.66,1,not out,2,,v England,Nottingham,27 Jun 2004,2135
23,32,29,5,0,79.31,1,run out,1,,v England,Leeds,1 Jul 2004,2137
27,80,58,4,0,46.55,1,caught,1,,v New Zealand,Cardiff,3 Jul 2004,2138
132*,212,165,12,1,80.00,1,not out,2,,v England,Lord's,6 Jul 2004,2140
TDNB,-,-,-,-,-,-,-,-,,v New Zealand,Southampton,8 Jul 2004,2141
4,11,13,0,0,30.76,1,caught,2,,v New Zealand,Lord's,10 Jul 2004,2142
99,173,132,6,0,75.00,1,caught,1,,v Bangladesh,Southampton,15 Sep 2004,2175
16,34,19,3,0,84.21,1,bowled,2,,v South Africa,The Oval,18 Sep 2004,2178
1,11,8,0,0,12.50,1,lbw,2,,v Pakistan,Southampton,22 Sep 2004,2181
23,47,33,5,0,69.69,1,caught,2,,v England,The Oval,25 Sep 2004,2182
1,6,9,0,0,11.11,1,caught,1,,v Asia XI,Melbourne,10 Jan 2005,2203
0,3,3,0,0,0.00,1,lbw,2,,v Australia,Melbourne,14 Jan 2005,2204
82,-,99,7,0,82.82,1,caught,1,,v Pakistan,Brisbane,19 Jan 2005,2206
26,-,22,3,1,118.18,1,bowled,1,,v Australia,Brisbane,21 Jan 2005,2208
2,-,11,0,0,18.18,1,caught,2,,v Australia,Adelaide,26 Jan 2005,2212
9,14,12,1,0,75.00,1,bowled,1,,v Pakistan,Adelaide,28 Jan 2005,2213
0,-,3,0,0,0.00,1,caught,2,,v Pakistan,Perth,1 Feb 2005,2218
26,37,31,4,0,83.87,1,caught,1,,v South Africa,Kingston,7 May 2005,2241
11,13,15,2,0,73.33,1,bowled,1,,v South Africa,Kingston,8 May 2005,2242
132,219,152,7,2,86.84,1,caught,2,,v South Africa,Bridgetown,11 May 2005,2243
3,-,5,0,0,60.00,1,caught,1,,v South Africa,Port of Spain,14 May 2005,2244
